Review,Rating,Location,Date of Experience,Sentiment,cleaned_review,Day,Month,Year
Friendly staff! Easy pickup and drop off. Cost of the rental was half of all other competitors!!,5,US,2023-12-19,Positive,friendly staff easy pickup drop cost rental half competitor,19,December,2023
"From waiting in line to obtaining and returning the car, your process was smooth, efficient and friendly!!! Pricing was just right ( better than competitors)! Will use Fox again!!!",5,US,2023-12-15,Positive,wait line obtain return car process smooth efficient friendly pricing right well competitor use fox,15,December,2023
"Competitive price. Shuttle to offsite is frequent, not as inconvenient as other people said. Paper work is slow. Customer service could be improved.",3,US,2024-01-02,Neutral,competitive price shuttle offsite frequent inconvenient people say paper work slow customer service could improve,2,January,2024
I hope u to choice Fox,4,US,2023-12-26,Positive,hope u choice fox,26,December,2023
Provided professor and friendly service.,5,US,2023-12-23,Positive,provide professor friendly service,23,December,2023
What made my experience great ….was the friendly and courteous service we received from Naz and how efficient he was to getting us on our way. The vehicle that was given to us was new and clean. It was easy to return at the end of our trip.,5,US,2023-12-30,Positive,make experience great friendly courteous service receive naz efficient get we way vehicle give we new clean easy return end trip,30,December,2023
"I missed my pickup by 3 hours due to a flight delay and didn’t get the car I requested. However, the customer service I received made up for it.I felt the lady that helped me was genuinely apologetic, explaining the issue (not enough cars) and worked hard to get the issue resolved. When I returned my car it was a bit hectic with cars backing up, but it makes sense since they were understaffed that day. Even then, they were calm and professional. The man that drove the shuttle was very attentive and got me on board really quickly. The car was great, the packages for gas and toll were fair. The only issue and reason for 4 stars,was there was only one paper car mat and it lasted two days before it wasn’t useable. It was raining non stop during my trip, I had to use paper towels to keep the floor clean. Otherwise, it was a great experience!",4,US,2023-12-24,Positive,miss pickup hour due flight delay do not get car request however customer service receive make iti feel lady help genuinely apologetic explain issue enough car work hard get issue resolve return car bit hectic car back make sense since understaffed day even calm professional man drive shuttle attentive get board really quickly car great package gas toll fair issue reason starswa one paper car mat last two day be not useable raining non stop trip use paper towel keep floor clean otherwise great experience,24,December,2023
"Car and rental experience was great. Shuttle service specially those with heavy luggage(s), need Fox to find a way to get those luggages into the shuttle easier than what it is right now (no help provided when its more than 25 lbs).",4,US,2023-12-30,Positive,car rental experience great shuttle service specially heavy luggage need fox find way get luggage shuttle easy right help provide lbs,30,December,2023
"Easy to pick up, quick to drop off, great zippy new car, clean. Would use them again next time for sure.",5,AT,2023-12-26,Positive,easy pick quick drop great zippy new car clean would use next time sure,26,December,2023
"Very friendly and fast service, the vehicle was in great conditions and overall a great experience.",5,US,2023-12-24,Positive,friendly fast service vehicle great condition overall great experience,24,December,2023
"The process of renting was pretty good. The price was good, pickup was fine. The Return took me by surprise. When we returned the car. The attendant took out a Flashlight and spent 10 mins going over the car. She pointed out about 12 scratches and smudges she said wasn't on the pre-inspection form when I picked up the car. Told her I was unaware that normal scratches from driving were part of the pre-inspection. Now I know.",2,US,2023-12-29,Negative,process rent pretty good price good pickup fine return take surprise return car attendant take flashlight spend min go car point scratch smudge say be not preinspection form pick car tell unaware normal scratch drive part preinspection know,29,December,2023
